ldof-outlier=0.8932868267198046
ldof-outlier=0.9611578287918323
ldof-outlier=0.7819240518680382
ldof-outlier=0.8732036563424006
ldof-outlier=0.7675973072441178
ldof-outlier=0.7965629104064781
ldof-outlier=0.9340999892076643
ldof-outlier=0.8337733435555953
ldof-outlier=1.2740713568161366
ldof-outlier=0.8166646102901918
ldof-outlier=0.9463499308162792
ldof-outlier=0.8763764411908377
ldof-outlier=1.0779507079051673
ldof-outlier=0.9326838938812735
ldof-outlier=0.9533996917589773
ldof-outlier=0.8873288581178859
ldof-outlier=0.9594345244233862
ldof-outlier=0.7745478760801486
ldof-outlier=0.775390864592233
ldof-outlier=0.7777600683960253
ldof-outlier=0.7803519184831947
ldof-outlier=0.7942638784629097
ldof-outlier=0.7938316269244527
ldof-outlier=0.8197016357199884
ldof-outlier=0.8422668983643521
ldof-outlier=0.7960890770155477
ldof-outlier=0.930149842993291
ldof-outlier=0.798455938456134
ldof-outlier=1.1914391447980546
ldof-outlier=0.9414362298102157
ldof-outlier=0.7537659035772795
ldof-outlier=0.7344568851097802
ldof-outlier=0.8564527365379305
ldof-outlier=1.117313207996802
ldof-outlier=0.838700324897169
ldof-outlier=0.9126647716269587
ldof-outlier=0.9157704370241225
ldof-outlier=0.7692018750675096
ldof-outlier=1.0201370587262195
ldof-outlier=1.0828142145305013
ldof-outlier=1.1069690990901877
ldof-outlier=1.2245875481029267
ldof-outlier=0.9000694718895046
ldof-outlier=1.029569923957248
ldof-outlier=0.8696751854981701
ldof-outlier=0.7580288941429983
ldof-outlier=0.8036149800647208
ldof-outlier=0.9025044456744682
ldof-outlier=0.7866882714028384
ldof-outlier=0.7870146567716613
ldof-outlier=0.8497530429013284
ldof-outlier=0.8983118670286176
ldof-outlier=0.8009701864253715
ldof-outlier=0.8405065717166831
ldof-outlier=0.8499398158750086
ldof-outlier=0.8557061958259308
ldof-outlier=0.8323830190323768
ldof-outlier=0.8582428182993707
ldof-outlier=1.04698365372222
ldof-outlier=0.7512788095645669
ldof-outlier=0.8139463319181329
ldof-outlier=0.8574774853829985
ldof-outlier=0.7636322191685571
ldof-outlier=0.8070983096463789
ldof-outlier=0.7491524231187692
ldof-outlier=0.7809082682033888
ldof-outlier=0.8366961772679401
ldof-outlier=0.7318774090342041
ldof-outlier=0.7624276856940437
ldof-outlier=1.0517316266491008
ldof-outlier=1.0125642572389828
ldof-outlier=0.9192244016533709
