cof-outlier=0.998508284176627
cof-outlier=0.9688908210272119
cof-outlier=1.1470335078443281
cof-outlier=1.4852741496366169
cof-outlier=1.163402150105312
cof-outlier=1.3051294755780714
cof-outlier=1.0355599962134248
cof-outlier=1.3171223530932732
cof-outlier=1.03735694638058
cof-outlier=1.3162498118538666
cof-outlier=1.4160816653123882
cof-outlier=1.3082435016593774
cof-outlier=1.5927765483955294
cof-outlier=1.1792708576561575
cof-outlier=1.0182552768830104
cof-outlier=1.2729721242820558
cof-outlier=1.0182552768830102
cof-outlier=0.9799849090912833
cof-outlier=1.2179792048084295
cof-outlier=1.022560276599461
cof-outlier=1.009626076896061
cof-outlier=1.2225214409879086
cof-outlier=1.2225214409879086
cof-outlier=1.064335840082274
cof-outlier=0.9961927156720619
cof-outlier=1.063357215643883
cof-outlier=1.5244946782717683
cof-outlier=0.9092605974255901
cof-outlier=1.824191621907486
cof-outlier=1.4301784761904055
cof-outlier=1.0653482181590586
cof-outlier=0.9358198051958682
cof-outlier=1.2202295963383
cof-outlier=1.0640343705723712
cof-outlier=0.9457808520128909
cof-outlier=0.943760245159165
cof-outlier=1.1416374978387311
cof-outlier=1.1591851544576461
cof-outlier=1.2010017570931866
cof-outlier=1.1115760373311137
cof-outlier=0.9532756888201255
cof-outlier=1.5522728537611539
cof-outlier=1.1395423718443924
cof-outlier=1.1086715567348895
cof-outlier=1.0653993442701604
cof-outlier=1.0082596831715274
cof-outlier=1.0965163127499438
cof-outlier=1.2572722778754604
cof-outlier=1.2404782918322175
cof-outlier=1.118916916288272
cof-outlier=1.211443748014094
cof-outlier=1.433273391853695
cof-outlier=1.0487734447840598
cof-outlier=1.0906002227865437
cof-outlier=0.9207130945896016
cof-outlier=0.9415442323605502
cof-outlier=0.9604124421681892
cof-outlier=1.1190897706937775
cof-outlier=1.3435366533501625
cof-outlier=1.031558138530291
cof-outlier=1.04877344478406
cof-outlier=1.2136409255277145
cof-outlier=1.1009039166447459
cof-outlier=0.9515634895796112
cof-outlier=1.031558138530291
cof-outlier=1.1890842126359948
cof-outlier=1.1956038488539362
cof-outlier=1.148545607423441
cof-outlier=1.3477061410401108
cof-outlier=0.9532756888201254
cof-outlier=1.5522569146778185
cof-outlier=1.0718282263399104
cof-outlier=1.3529562322386326
cof-outlier=1.4388234849880595
cof-outlier=1.1521390717940918
cof-outlier=1.1241390424990694
cof-outlier=1.0781937642478439
cof-outlier=1.1194093159504823
cof-outlier=1.1959951708699201
cof-outlier=0.9415442323605501
cof-outlier=1.173864915866616
cof-outlier=1.1157381268321958
cof-outlier=1.4012728221465738
cof-outlier=1.0414387581911344
cof-outlier=0.8988761089353232
cof-outlier=0.95627782354101
cof-outlier=1.4944275204653747
cof-outlier=0.9682489381933344
cof-outlier=0.9438378577307878
cof-outlier=1.2186369296689679
cof-outlier=1.2186369296689679
cof-outlier=1.2091951072621085
cof-outlier=0.9275235742395537
cof-outlier=1.0647250796495566
cof-outlier=1.1890587472050609
cof-outlier=1.0568069401597573
cof-outlier=1.2236491939736862
cof-outlier=1.133775531252598
cof-outlier=1.0957818719179933
cof-outlier=0.943760245159165
cof-outlier=0.9458565577009516
cof-outlier=1.079998306963644
cof-outlier=1.1071438906824294
cof-outlier=1.0260147869235579
cof-outlier=0.9594755820667311
cof-outlier=1.042757381937795
cof-outlier=0.9597031774399202
cof-outlier=1.1064887084599986
cof-outlier=1.0256333402175475
cof-outlier=0.9726755629241334
cof-outlier=1.1530146337939238
cof-outlier=1.2263215694743874
cof-outlier=1.3081967175578753
cof-outlier=1.2556633677597437
cof-outlier=1.226763088348994
cof-outlier=1.0383340810746762
cof-outlier=1.2159634982755452
cof-outlier=1.2159634982755452
cof-outlier=1.0320397528925358
cof-outlier=1.0320397528925358
cof-outlier=1.2583358319853704
cof-outlier=1.1116790704398087
cof-outlier=1.0755334754117705
cof-outlier=0.9948457149251881
cof-outlier=1.1866850157648707
cof-outlier=1.1866850157648707
cof-outlier=1.367977308403482
cof-outlier=0.9265468941402447
cof-outlier=0.9392685598681426
cof-outlier=0.9475758588563397
cof-outlier=0.8984591343757536
cof-outlier=1.1101727708187659
cof-outlier=2.3019981620670253
cof-outlier=0.945434657914076
cof-outlier=1.5070727487009798
cof-outlier=0.9716701406284474
cof-outlier=0.9626685391711607
cof-outlier=1.1401907007095045
cof-outlier=1.2070314363243104
cof-outlier=0.9253544461236227
cof-outlier=1.1182900112074643
cof-outlier=1.078210303941111
cof-outlier=1.1635767404313986
cof-outlier=1.8064149720491494
cof-outlier=1.0477845186237984
cof-outlier=1.0432549641111029
cof-outlier=1.2592416486840186
cof-outlier=1.2292779304495205
cof-outlier=1.143489077612123
cof-outlier=0.9667672982963512
cof-outlier=0.934718805322229
cof-outlier=0.9595559501604283
