loop-outlier=0.04030105313315664
loop-outlier=0.05286652353297995
loop-outlier=0.051845410045479524
loop-outlier=0.3113716776984671
loop-outlier=0.07811162126222417
loop-outlier=0.12272727510464293
loop-outlier=0.05934133945147919
loop-outlier=0.16615146917228957
loop-outlier=0.37095266138755056
loop-outlier=0.13747653918695274
loop-outlier=0.2698926299349391
loop-outlier=0.16694819545124334
loop-outlier=0.43335266736262007
loop-outlier=0.2087889720445468
loop-outlier=0.10421693986859783
loop-outlier=0.265630973041103
loop-outlier=0.10951358758685353
loop-outlier=0.0
loop-outlier=0.08060633018252022
loop-outlier=0.02571259012085897
loop-outlier=0.029024809216691743
loop-outlier=0.10892226954564792
loop-outlier=0.10857235263185948
loop-outlier=0.07414664145175438
loop-outlier=0.04660734416927056
loop-outlier=0.04074768345591949
loop-outlier=0.23227587699006988
loop-outlier=0.0
loop-outlier=0.6786024328225406
loop-outlier=0.26056827350675044
loop-outlier=0.0
loop-outlier=0.0
loop-outlier=0.16357093950444598
loop-outlier=0.30658136079490494
loop-outlier=0.0
loop-outlier=0.039486206190431104
loop-outlier=0.12407460598165546
loop-outlier=0.013280123817298801
loop-outlier=0.35447387563021104
loop-outlier=0.16776910192095235
loop-outlier=0.26450568038080813
loop-outlier=0.49357659154138783
loop-outlier=0.13557357630235203
loop-outlier=0.27562006048053206
loop-outlier=0.12197989883843693
loop-outlier=0.0
loop-outlier=0.031756552380203015
loop-outlier=0.2063493385363692
loop-outlier=0.06548096188885157
loop-outlier=0.021550418753372012
loop-outlier=0.041378235708648854
loop-outlier=0.1916639236562094
loop-outlier=0.08457871416670396
loop-outlier=0.08148993799922026
loop-outlier=0.0
loop-outlier=0.023753324454667817
loop-outlier=0.0
loop-outlier=0.10732242554023534
loop-outlier=0.3381629817395917
loop-outlier=0.004740216863647815
loop-outlier=0.05738459058389048
loop-outlier=0.0673230763413031
loop-outlier=0.05330071961538963
loop-outlier=0.0
loop-outlier=0.00362533170115692
loop-outlier=0.061203804328580545
loop-outlier=0.07534330715906255
loop-outlier=0.0
loop-outlier=0.1447891628215405
loop-outlier=0.20940534393484378
loop-outlier=0.4044880534370432
loop-outlier=0.07642887953158253
loop-outlier=0.12596761285252947
loop-outlier=0.9114656638071635
loop-outlier=0.10577740559543113
loop-outlier=0.0624855426910311
loop-outlier=0.3445389199849838
loop-outlier=0.12915285867771947
loop-outlier=0.15622088979425322
loop-outlier=0.01488263588390459
loop-outlier=0.09024612898560053
loop-outlier=0.11816536071954203
loop-outlier=0.2607545840869216
loop-outlier=0.07726188798339156
loop-outlier=0.0
loop-outlier=0.003469273896941465
loop-outlier=0.17087410098102768
loop-outlier=0.0022256674050906925
loop-outlier=0.027659381203400526
loop-outlier=0.06769830438903157
loop-outlier=0.06780426397860256
loop-outlier=0.18272617602482108
loop-outlier=0.0
loop-outlier=0.08381660186097273
loop-outlier=0.1597379295451669
loop-outlier=0.21243077625640208
loop-outlier=0.13827554515104187
loop-outlier=0.12351287560352174
loop-outlier=0.0
loop-outlier=0.06241992928954816
loop-outlier=0.005032809250609944
loop-outlier=0.0
loop-outlier=0.06121707883303334
loop-outlier=0.07421396994879463
loop-outlier=0.0
loop-outlier=0.21987159025627667
loop-outlier=0.0
loop-outlier=0.04822899895867087
loop-outlier=0.025066900368408734
loop-outlier=0.0
loop-outlier=0.028476589912507767
loop-outlier=0.061344800161415414
