knn-outlier=17023.117921758636
knn-outlier=17295.0030048895
knn-outlier=28417.531053855662
knn-outlier=13430.154790630673
knn-outlier=58817.747713601515
knn-outlier=23116.243950966604
knn-outlier=10389.055029929334
knn-outlier=23783.077328430252
knn-outlier=25201.154959243435
knn-outlier=19779.628538933688
knn-outlier=25565.23956274613
knn-outlier=17346.843922933072
knn-outlier=20540.23669195399
knn-outlier=122350.71356069717
knn-outlier=11062.428612980966
knn-outlier=28959.278529003448
knn-outlier=11131.380005071249
knn-outlier=133887.96064326694
knn-outlier=50705.57940371749
knn-outlier=50048.56366565955
knn-outlier=50138.18451651396
knn-outlier=50461.62304889331
knn-outlier=50466.20392194365
knn-outlier=17514.41112904456
knn-outlier=15163.82040220332
knn-outlier=12038.040520037832
knn-outlier=12835.754888704965
knn-outlier=13244.510413031507
knn-outlier=12201.8194921273
knn-outlier=25592.595228942686
knn-outlier=51322.273314754704
knn-outlier=43008.82160396167
knn-outlier=31209.3950290918
knn-outlier=26841.552426599694
knn-outlier=13624.507555326994
knn-outlier=10909.154602190767
knn-outlier=16220.830844467459
knn-outlier=30543.903764900453
knn-outlier=53519.197984996936
knn-outlier=11418.215615134442
knn-outlier=11853.786792493782
knn-outlier=27676.65532797384
knn-outlier=16140.088058415295
knn-outlier=15648.506557017841
knn-outlier=51289.72993377372
knn-outlier=36103.04760672982
knn-outlier=12899.980794005083
knn-outlier=15448.601964533878
knn-outlier=31313.454969204424
knn-outlier=22790.050948679338
knn-outlier=89248.2646462871
knn-outlier=13895.745475846208
knn-outlier=32615.949413139886
knn-outlier=18214.271184019413
knn-outlier=21163.95453668572
knn-outlier=15258.480099047947
knn-outlier=13871.896000219293
knn-outlier=20756.133173760954
knn-outlier=36176.201599501845
knn-outlier=46762.061962420994
knn-outlier=34018.29239072708
knn-outlier=12542.051749056054
knn-outlier=60423.23262893256
knn-outlier=14428.353080396944
knn-outlier=46728.08621925362
knn-outlier=22130.52598418754
knn-outlier=16678.96842351169
knn-outlier=40354.97830502329
knn-outlier=25554.20140609759
knn-outlier=11540.935685506614
knn-outlier=13655.439036446247
knn-outlier=10830.010653600484
knn-outlier=15729.957954111002
knn-outlier=29170.537149207586
knn-outlier=69472.54757838883
knn-outlier=60226.571272591966
knn-outlier=12837.393899409646
knn-outlier=31964.658051523093
knn-outlier=115401.41027030353
knn-outlier=15097.354465805067
