knnw-outlier=35983.957197601005
knnw-outlier=24216.773216022582
knnw-outlier=39398.61794985524
knnw-outlier=25733.290687383935
knnw-outlier=69636.22424867265
knnw-outlier=36018.927173738964
knnw-outlier=16301.736310017131
knnw-outlier=47244.60011760593
knnw-outlier=54266.958071731366
knnw-outlier=35350.989333728074
knnw-outlier=38988.853049085905
knnw-outlier=26801.005261063707
knnw-outlier=48418.28783109641
knnw-outlier=145534.01757337223
knnw-outlier=24557.51200010623
knnw-outlier=62211.063170678106
knnw-outlier=24772.28791832787
knnw-outlier=128840.90783010884
knnw-outlier=49970.920028655564
knnw-outlier=57917.63162841204
knnw-outlier=59882.87199077806
knnw-outlier=26558.951243814627
knnw-outlier=26483.375754388217
knnw-outlier=24727.7386418358
knnw-outlier=19629.42295318363
knnw-outlier=15141.345703604973
knnw-outlier=37880.874518462835
knnw-outlier=18922.246716907404
knnw-outlier=31217.12563410763
knnw-outlier=38536.28193050987
knnw-outlier=44695.38794381393
knnw-outlier=38856.17931372047
knnw-outlier=46313.424818669286
knnw-outlier=47096.951677739344
knnw-outlier=14759.292580703941
knnw-outlier=12297.834753547464
knnw-outlier=30064.26646790927
knnw-outlier=55227.299450835446
knnw-outlier=89188.33031341345
knnw-outlier=28968.405454472646
knnw-outlier=20059.326387011664
knnw-outlier=63187.902524901016
knnw-outlier=36727.62170915014
knnw-outlier=38614.22353779239
knnw-outlier=88414.98863324578
knnw-outlier=45701.28553893174
knnw-outlier=19587.47067438488
knnw-outlier=41827.87237435817
knnw-outlier=50689.53511203243
knnw-outlier=42018.07829235907
knnw-outlier=140103.57605391394
knnw-outlier=29144.89968529342
knnw-outlier=55927.28184990519
knnw-outlier=38044.90886007924
knnw-outlier=17426.92032377209
knnw-outlier=17629.072447112947
knnw-outlier=31617.995386601113
knnw-outlier=44086.2858136693
knnw-outlier=73014.82214571332
knnw-outlier=23685.5932641795
knnw-outlier=54248.1022981706
knnw-outlier=34577.738010861714
knnw-outlier=39262.95895390056
knnw-outlier=23013.533801660495
knnw-outlier=20905.924051573642
knnw-outlier=43115.93859455897
knnw-outlier=36489.35811143616
knnw-outlier=60243.37818670644
knnw-outlier=41147.15419082505
knnw-outlier=16786.45301858581
knnw-outlier=37460.013558869585
knnw-outlier=23632.601201005746
knnw-outlier=41839.22638320035
knnw-outlier=101593.7663869533
knnw-outlier=96760.24780309574
knnw-outlier=71380.91229434352
knnw-outlier=47416.18285530107
knnw-outlier=60447.63204077989
knnw-outlier=155318.2247713955
knnw-outlier=17003.508818946884
knnw-outlier=63282.927583466866
knnw-outlier=213297.05041183656
knnw-outlier=42952.034355359894
knnw-outlier=57863.1637207202
knnw-outlier=14171.468831657283
knnw-outlier=81904.18342320574
knnw-outlier=33500.14628041961
knnw-outlier=18920.683342768752
knnw-outlier=10299.723717182784
knnw-outlier=94098.6401575782
knnw-outlier=94012.30841803522
knnw-outlier=21104.93666532862
knnw-outlier=20403.905611563754
knnw-outlier=24794.826415921518
knnw-outlier=91863.89427305116
knnw-outlier=48819.44362357628
knnw-outlier=50150.73340327617
knnw-outlier=44869.69016307277
knnw-outlier=29199.215929841277
knnw-outlier=14122.124160231575
knnw-outlier=41834.32779530319
knnw-outlier=36714.15544835664
knnw-outlier=47761.10179525034
knnw-outlier=19156.860904090496
knnw-outlier=14364.93730422224
knnw-outlier=33645.12807053373
knnw-outlier=17243.747759233112
knnw-outlier=66779.73063993161
knnw-outlier=88142.85854751732
knnw-outlier=11160.182820411463
knnw-outlier=39087.0620825049
knnw-outlier=33058.580681960295
knnw-outlier=25454.13325066447
knnw-outlier=35400.68104276766
knnw-outlier=54120.024230965806
knnw-outlier=24447.47987507217
knnw-outlier=138848.02078744548
knnw-outlier=138850.13576247898
knnw-outlier=68092.19601440165
knnw-outlier=68370.464719257
knnw-outlier=26304.040376581695
knnw-outlier=136189.18999340085
knnw-outlier=116920.59827032172
knnw-outlier=15395.06894272054
knnw-outlier=31140.175029197075
knnw-outlier=30815.538305931965
knnw-outlier=36504.28859824427
knnw-outlier=18811.78429646934
knnw-outlier=18537.482465473873
knnw-outlier=95938.1677705515
knnw-outlier=16894.726296880286
knnw-outlier=29631.769867944528
knnw-outlier=35872.50517906026
knnw-outlier=15188.851972410772
knnw-outlier=50538.069865046295
knnw-outlier=13944.998793883402
knnw-outlier=13674.793614454533
knnw-outlier=42139.86381799021
knnw-outlier=41240.507773544334
knnw-outlier=18660.655593377174
knnw-outlier=31711.15481644159
knnw-outlier=31994.092062006603
knnw-outlier=143958.91324430736
knnw-outlier=452957.7654176353
knnw-outlier=78257.01637203107
knnw-outlier=30958.119514544345
knnw-outlier=141629.16937079086
knnw-outlier=62339.01059202794
knnw-outlier=20818.85030992162
knnw-outlier=89261.25637822863
knnw-outlier=18297.97345294602
knnw-outlier=32261.43554895587
knnw-outlier=72995.9368479191
knnw-outlier=14550.629876578114
knnw-outlier=12407.852205006411
knnw-outlier=14995.594110905362
knnw-outlier=13925.940346572439
knnw-outlier=39984.35050171356
knnw-outlier=68007.98098856212
knnw-outlier=133112.8975229648
knnw-outlier=22162.48120501748
knnw-outlier=31455.02261254167
knnw-outlier=95684.42133619092
knnw-outlier=77846.37226345183
knnw-outlier=77867.4328806886
knnw-outlier=78335.36891426455
knnw-outlier=40128.824957133686
knnw-outlier=87641.65162734181
knnw-outlier=104818.49956124522
knnw-outlier=14841.462027709309
knnw-outlier=13850.860341378755
knnw-outlier=34983.372299095434
knnw-outlier=10920.039115401298
knnw-outlier=71701.4444388972
knnw-outlier=123450.11944825498
knnw-outlier=10618.042849233101
knnw-outlier=27997.070852490862
knnw-outlier=36662.672593575284
knnw-outlier=14814.79420081184
knnw-outlier=30320.096554135107
knnw-outlier=35753.385203896
knnw-outlier=958904.880771939
knnw-outlier=62699.74973280108
