inflo-outlier=1.0034334538932468
inflo-outlier=1.1813959562828962
inflo-outlier=0.9673767873115225
inflo-outlier=1.31471200687815
inflo-outlier=1.0787637932594327
inflo-outlier=1.0302185077765427
inflo-outlier=1.0477530333350646
inflo-outlier=1.0490550524244096
inflo-outlier=1.7393212337055697
inflo-outlier=1.1401278100650005
inflo-outlier=1.2871824785180352
inflo-outlier=1.0091884999388068
inflo-outlier=1.0406088503156377
inflo-outlier=1.0988810989116244
inflo-outlier=0.9805116572100858
inflo-outlier=1.1616183836351612
inflo-outlier=0.9912570340131986
inflo-outlier=0.9351719456657253
inflo-outlier=1.0331278677780575
inflo-outlier=0.9957860045439039
inflo-outlier=0.9822178696572834
inflo-outlier=0.9959155661488777
inflo-outlier=0.9951782788358919
inflo-outlier=0.9665599056159457
inflo-outlier=0.971600323833728
inflo-outlier=0.9838179324200129
inflo-outlier=1.3114218728197438
inflo-outlier=1.0
inflo-outlier=2.237087707381642
inflo-outlier=1.2643872128917366
inflo-outlier=1.0
inflo-outlier=0.9651377722707214
inflo-outlier=1.1049334625117684
inflo-outlier=1.3334924669406816
inflo-outlier=0.9883035952115563
inflo-outlier=0.9856610604374725
inflo-outlier=1.1696611321613213
inflo-outlier=0.9893728023504745
inflo-outlier=1.3284420869073348
inflo-outlier=1.1208615815470895
inflo-outlier=1.5763290198192808
inflo-outlier=1.9802956608566087
inflo-outlier=1.1721809576440358
inflo-outlier=1.6460905247178077
inflo-outlier=1.044522985405315
inflo-outlier=1.0
inflo-outlier=1.0414903073957515
inflo-outlier=1.2202695121657279
inflo-outlier=1.1157580614271538
inflo-outlier=1.0175207134828754
inflo-outlier=0.9014183189374858
inflo-outlier=0.9654201931287053
inflo-outlier=1.0739228423248188
inflo-outlier=1.1588332735534579
inflo-outlier=1.0327804343803149
inflo-outlier=1.0001229569622951
inflo-outlier=0.8971964081848498
inflo-outlier=1.0579374457178836
inflo-outlier=1.1928957137193852
inflo-outlier=0.9319575208473666
inflo-outlier=1.0082647663984556
inflo-outlier=1.0156568865629942
inflo-outlier=0.9901421510204883
inflo-outlier=1.0202970267922882
inflo-outlier=0.9383412379388018
inflo-outlier=1.0904115556026825
inflo-outlier=1.1018081221405007
inflo-outlier=1.0
inflo-outlier=1.0598578363219036
inflo-outlier=1.4992364957874524
inflo-outlier=1.7079760095313195
inflo-outlier=1.0431632900562813
inflo-outlier=1.0726746395264484
inflo-outlier=3.254718203464502
inflo-outlier=1.0784754289343161
