knn-outlier=808.5159918217935
knn-outlier=812.656843123859
knn-outlier=771.1849406169298
knn-outlier=803.5602458621408
knn-outlier=801.9238558481129
knn-outlier=793.4493105683606
knn-outlier=840.3738172482506
knn-outlier=821.0591047325148
knn-outlier=755.2252362262134
knn-outlier=745.8472141051767
knn-outlier=796.0326762782901
knn-outlier=838.6595682405385
knn-outlier=1038.96767945283
knn-outlier=850.0477984571894
knn-outlier=728.3303098479558
knn-outlier=857.1306416693544
knn-outlier=860.0581571629403
knn-outlier=1033.1571473235326
knn-outlier=710.2092128400307
knn-outlier=720.6690059346653
knn-outlier=795.5658900769503
knn-outlier=827.9646751279641
knn-outlier=788.0515222515688
knn-outlier=723.2164374217798
knn-outlier=777.3210574253465
knn-outlier=771.2366843346866
knn-outlier=711.9728161160331
knn-outlier=856.7404345651458
knn-outlier=725.2070908295578
knn-outlier=758.6626571758577
knn-outlier=843.5028618615988
knn-outlier=791.9911738095462
knn-outlier=826.5670502896019
knn-outlier=1149.6821768192012
knn-outlier=780.8002464807188
knn-outlier=776.4180849754381
knn-outlier=813.0886657887372
knn-outlier=749.5335174176556
knn-outlier=1371.6316339347443
knn-outlier=755.8604490205381
knn-outlier=819.3669151274249
knn-outlier=657.9703696529476
knn-outlier=763.0491919040603
knn-outlier=767.9355447147577
knn-outlier=780.2469281103014
knn-outlier=789.0659550081667
knn-outlier=837.2335989458802
knn-outlier=789.110906682041
knn-outlier=741.2057934270463
knn-outlier=848.9913781686619
knn-outlier=815.8259851504912
knn-outlier=801.9177996464147
knn-outlier=838.4658685169509
knn-outlier=848.4765664907491
knn-outlier=829.962599190583
knn-outlier=754.722282951122
knn-outlier=811.2491068474001
knn-outlier=674.1967706874461
knn-outlier=807.0751480742796
knn-outlier=677.8974958249089
knn-outlier=771.1459632289408
knn-outlier=744.09960535278
knn-outlier=828.869837226804
knn-outlier=762.4500430770336
knn-outlier=783.2427566237654
knn-outlier=735.2010097148927
knn-outlier=835.0151445095867
knn-outlier=784.7248821249589
knn-outlier=710.6428774684396
knn-outlier=804.6367280079353
knn-outlier=799.6050826731778
knn-outlier=710.373170455295
knn-outlier=767.2965809502334
knn-outlier=768.3189675210754
knn-outlier=734.9835687875344
knn-outlier=774.0647573521717
knn-outlier=679.0148598385729
