cof-outlier=1.013546318250136,abod-outlier=1.1161364766937508E-38,inflo-outlier=1.079646642887441,knnw-outlier=540286.4609024973,knnw-outlier=1085733.743930358,ldf-outlier=0.0,ldof-outlier=0.9986682054522601,lof-outlier=1.0153936155739465,loop-outlier=0.02969753272278322,odin=0.9824561403508787,simplified-lof-outlier=1.0684820309058598
cof-outlier=0.9960558820250839,abod-outlier=6.936055446065586E-38,inflo-outlier=1.1407209720617286,knnw-outlier=474098.23883341823,knnw-outlier=985849.5135476467,ldf-outlier=0.0,ldof-outlier=1.2152865504580679,lof-outlier=1.0237393751212176,loop-outlier=0.03066509945735307,odin=1.0175438596491244,simplified-lof-outlier=1.0624724724693795
cof-outlier=1.0727648704546882,abod-outlier=5.2258739916323267E-39,inflo-outlier=1.0742137997703545,knnw-outlier=891845.1031482959,knnw-outlier=1784532.4498375382,ldf-outlier=0.0,ldof-outlier=0.7581347768545234,lof-outlier=1.122200077262352,loop-outlier=0.06084178984248104,odin=0.947368421052633,simplified-lof-outlier=1.16851858998935
cof-outlier=1.4602011304260487,abod-outlier=6.126446453058358E-38,inflo-outlier=0.9845981171208317,knnw-outlier=566174.5506931983,knnw-outlier=1014596.2472565374,ldf-outlier=0.0,ldof-outlier=0.7980367327909594,lof-outlier=1.1278102316401821,loop-outlier=0.25458715924055364,odin=0.6140350877192986,simplified-lof-outlier=1.4487133045773577
cof-outlier=1.1206442616009753,abod-outlier=7.106079910363572E-40,inflo-outlier=0.9659904134841388,knnw-outlier=1870322.0466676059,knnw-outlier=3788718.9953504805,ldf-outlier=0.0,ldof-outlier=0.7713119277908438,lof-outlier=1.1295207216058791,loop-outlier=0.08268756125987012,odin=0.9824561403508787,simplified-lof-outlier=1.181218083239531
cof-outlier=1.1994410069824637,abod-outlier=2.1652751674218748E-39,inflo-outlier=1.297731318296414,knnw-outlier=858639.7055880442,knnw-outlier=1661308.1000808126,ldf-outlier=0.0,ldof-outlier=0.7506418486906704,lof-outlier=1.3088181979846454,loop-outlier=0.18877369693116997,odin=0.6315789473684215,simplified-lof-outlier=1.6176934441678663
cof-outlier=1.049544738415213,abod-outlier=9.616363914793427E-37,inflo-outlier=1.0,knnw-outlier=320205.5342187037,knnw-outlier=648691.7883771128,ldf-outlier=0.0,ldof-outlier=0.8829222876603238,lof-outlier=0.9854315986303074,loop-outlier=0.028598800233724936,odin=1.192982456140353,simplified-lof-outlier=1.0241873040499494
cof-outlier=1.2310378056088336,abod-outlier=1.9711473631332976E-39,inflo-outlier=1.2257407983646549,knnw-outlier=906950.309696528,knnw-outlier=1722344.3718214023,ldf-outlier=0.0,ldof-outlier=0.8294755261428775,lof-outlier=1.2957509294263003,loop-outlier=0.20222626797078327,odin=0.6666666666666672,simplified-lof-outlier=1.628443678226221
cof-outlier=1.1319843004108088,abod-outlier=1.2879785536214833E-40,inflo-outlier=0.9859060612347171,knnw-outlier=720108.1063105507,knnw-outlier=1469210.8979375625,ldf-outlier=0.0,ldof-outlier=1.8409542679482767,lof-outlier=1.039705759358082,loop-outlier=0.21740086854360757,odin=0.7543859649122815,simplified-lof-outlier=1.2953303828697407
cof-outlier=1.2820266006355527,abod-outlier=9.992545977752131E-39,inflo-outlier=0.9471064789084429,knnw-outlier=776917.1948380938,knnw-outlier=1449454.3458381295,ldf-outlier=0.0,ldof-outlier=0.764880888043513,lof-outlier=1.1772528031376652,loop-outlier=0.1209584090045133,odin=0.8947368421052644,simplified-lof-outlier=1.3160835520312677
cof-outlier=1.5251075934516758,abod-outlier=3.509989669883818E-39,inflo-outlier=0.9838379668269108,knnw-outlier=1008641.0273034135,knnw-outlier=1849220.3024975094,ldf-outlier=0.0,ldof-outlier=0.8034251759111187,lof-outlier=1.337795005176546,loop-outlier=0.26553547702276536,odin=0.5087719298245614,simplified-lof-outlier=1.5640421519121468
cof-outlier=1.1309415020339626,abod-outlier=1.128459737911702E-36,inflo-outlier=1.1985641295961167,knnw-outlier=665608.7785365612,knnw-outlier=1268616.3363268815,ldf-outlier=0.0,ldof-outlier=0.8307547166937227,lof-outlier=1.8437393874669095,loop-outlier=0.25316894998170786,odin=0.7543859649122815,simplified-lof-outlier=2.7105154955232766
cof-outlier=1.43993639080092,abod-outlier=1.6082548920529054E-39,inflo-outlier=1.3239693374964867,knnw-outlier=894455.6105257069,knnw-outlier=1606585.2223275274,ldf-outlier=0.0,ldof-outlier=0.829459709521255,lof-outlier=3.0287127941437997,loop-outlier=0.5051535534890272,odin=0.5964912280701757,simplified-lof-outlier=4.228270594367014
cof-outlier=1.1405650229845057,abod-outlier=2.1552223202919114E-42,inflo-outlier=1.1697483630832932,knnw-outlier=4161071.3785407357,knnw-outlier=8208174.587941017,ldf-outlier=0.0,ldof-outlier=0.8937277198418478,lof-outlier=1.2338366383506143,loop-outlier=0.20736968547384224,odin=0.8421052631578958,simplified-lof-outlier=1.449242355282909
cof-outlier=1.0489995377997092,abod-outlier=8.800063814062199E-36,inflo-outlier=0.9604332774534579,knnw-outlier=391417.3593975214,knnw-outlier=741187.5162693483,ldf-outlier=0.0,ldof-outlier=0.9798799800212641,lof-outlier=1.0423364549832106,loop-outlier=0.06611038449428276,odin=1.0877192982456159,simplified-lof-outlier=1.1118063923253876
cof-outlier=1.3116448256097704,abod-outlier=2.183820265902143E-40,inflo-outlier=0.9408531622915453,knnw-outlier=1143831.5537090902,knnw-outlier=2127707.3204226056,ldf-outlier=0.0,ldof-outlier=0.85765177287508,lof-outlier=1.4411298972488416,loop-outlier=0.2203916327197495,odin=1.0000000000000016,simplified-lof-outlier=1.5920909287893266
cof-outlier=1.0489995377997092,abod-outlier=8.311281600188839E-36,inflo-outlier=0.9628656195109345,knnw-outlier=393998.4856555445,knnw-outlier=745209.0113564081,ldf-outlier=0.0,ldof-outlier=0.9863574357485134,lof-outlier=1.044444488051389,loop-outlier=0.0705960244305439,odin=1.0526315789473701,simplified-lof-outlier=1.1183042486461818
cof-outlier=0.9723041528228791,abod-outlier=2.399417406149571E-41,inflo-outlier=1.9138046699316928,knnw-outlier=3322633.13433856,knnw-outlier=7424791.42583403,ldf-outlier=0.0,ldof-outlier=0.7574281247555953,lof-outlier=1.112734085302877,loop-outlier=0.0,odin=1.0877192982456159,simplified-lof-outlier=1.0869396117791665
cof-outlier=1.1984151352439396,abod-outlier=1.890283198009056E-40,inflo-outlier=0.9765628501751514,knnw-outlier=1577050.6529779325,knnw-outlier=3227415.25957759,ldf-outlier=0.0,ldof-outlier=0.7258128199162595,lof-outlier=1.1318050582555006,loop-outlier=0.07324401190718702,odin=0.7017543859649129,simplified-lof-outlier=1.1947927800725497
cof-outlier=1.05853641662021,abod-outlier=4.652531258413942E-41,inflo-outlier=1.083611451226157,knnw-outlier=1499626.4536182163,knnw-outlier=3050479.416696117,ldf-outlier=0.0,ldof-outlier=0.7682556681694618,lof-outlier=1.1031387986596168,loop-outlier=0.017114763450842164,odin=0.9824561403508787,simplified-lof-outlier=1.1529109929978352
cof-outlier=1.0585364166202098,abod-outlier=2.330885214899874E-40,inflo-outlier=1.075526717622694,knnw-outlier=1506890.7494520776,knnw-outlier=3058673.7780111823,ldf-outlier=0.0,ldof-outlier=0.7645057366024507,lof-outlier=1.1041601540797712,loop-outlier=0.01930569466486177,odin=0.947368421052633,simplified-lof-outlier=1.15651206534661
cof-outlier=1.1943478572501782,abod-outlier=9.044844979715459E-38,inflo-outlier=0.9003127802997559,knnw-outlier=1609178.2301212195,knnw-outlier=3366850.024066172,ldf-outlier=0.0,ldof-outlier=0.7155320001551436,lof-outlier=1.151603906568083,loop-outlier=0.12599873888623134,odin=0.9298245614035101,simplified-lof-outlier=1.2297963115317037
cof-outlier=1.1943478572501782,abod-outlier=1.4644529516987557E-36,inflo-outlier=0.8999593910116133,knnw-outlier=1608094.8132682524,knnw-outlier=3365334.3893122077,ldf-outlier=0.0,ldof-outlier=0.7147744069510439,lof-outlier=1.1514866855108796,loop-outlier=0.1257259443652021,odin=0.9298245614035101,simplified-lof-outlier=1.2291931661895372
cof-outlier=1.066279193824921,abod-outlier=3.421761291281274E-38,inflo-outlier=0.9214953092648168,knnw-outlier=512671.1699480988,knnw-outlier=1077892.5863075159,ldf-outlier=0.0,ldof-outlier=0.9617035688883467,lof-outlier=1.023318723550735,loop-outlier=0.08419281924141563,odin=0.7894736842105272,simplified-lof-outlier=1.1295189503260903
cof-outlier=0.9666529302311054,abod-outlier=7.288983103446672E-36,inflo-outlier=1.0041969867748268,knnw-outlier=466345.8333502054,knnw-outlier=944395.9739229357,ldf-outlier=0.0,ldof-outlier=0.9004063226795217,lof-outlier=1.0080243547684054,loop-outlier=0.04475175698843279,odin=1.070175438596493,simplified-lof-outlier=1.0726447697791177
cof-outlier=1.073627306189392,abod-outlier=1.3331252823965012E-37,inflo-outlier=1.0,knnw-outlier=418331.21007099724,knnw-outlier=815655.3681997469,ldf-outlier=0.0,ldof-outlier=0.8044443778183811,lof-outlier=0.9768677390661539,loop-outlier=0.029073773974261717,odin=1.1403508771929844,simplified-lof-outlier=1.0383718693352493
cof-outlier=1.4822687675804531,abod-outlier=3.218053247465342E-38,inflo-outlier=1.0715564516114038,knnw-outlier=563924.1610303194,knnw-outlier=996311.1338602301,ldf-outlier=0.0,ldof-outlier=0.8991242749579549,lof-outlier=1.2272231475730015,loop-outlier=0.20592084757412354,odin=0.5964912280701757,simplified-lof-outlier=1.4238890112729718
cof-outlier=0.9056811161026914,abod-outlier=2.4173269707510325E-36,inflo-outlier=0.9047152531113627,knnw-outlier=402434.8854353807,knnw-outlier=836654.371686179,ldf-outlier=0.0,ldof-outlier=0.8305456650289715,lof-outlier=0.9813244557299147,loop-outlier=0.0,odin=1.1403508771929844,simplified-lof-outlier=0.9433450151995709
cof-outlier=1.8548726189359819,abod-outlier=1.4970518509433192E-38,inflo-outlier=0.9218703685027336,knnw-outlier=582398.9075157142,knnw-outlier=998158.9964983852,ldf-outlier=0.0,ldof-outlier=0.9787657468349251,lof-outlier=2.4088602684040277,loop-outlier=0.6335144914222969,odin=0.56140350877193,simplified-lof-outlier=3.3152692693572448
cof-outlier=1.395628230609732,abod-outlier=2.504644045730079E-39,inflo-outlier=0.9753387711237148,knnw-outlier=1004717.8151009281,knnw-outlier=1845146.5383898471,ldf-outlier=0.0,ldof-outlier=0.7991178103780838,lof-outlier=1.3353432292996525,loop-outlier=0.260442209024756,odin=0.5087719298245614,simplified-lof-outlier=1.5593478911876018
