simplified-lof-outlier=1.312278401789837
simplified-lof-outlier=1.3513196348493537
simplified-lof-outlier=1.3422163697988911
simplified-lof-outlier=1.4169947401992251
simplified-lof-outlier=1.4013433076075956
simplified-lof-outlier=1.4321648709248114
simplified-lof-outlier=1.4275786191560758
simplified-lof-outlier=1.490757383710494
simplified-lof-outlier=1.3129628683898942
simplified-lof-outlier=1.1327175517270576
simplified-lof-outlier=1.2385364800278256
simplified-lof-outlier=1.2251024393310426
simplified-lof-outlier=1.513703048299822
simplified-lof-outlier=0.9722490324702717
simplified-lof-outlier=1.2473433786644763
simplified-lof-outlier=1.1126644963877805
simplified-lof-outlier=1.3089051300256744
simplified-lof-outlier=1.4946464293067763
simplified-lof-outlier=1.2725871381463318
simplified-lof-outlier=1.2172108269177329
simplified-lof-outlier=1.1823586855020505
simplified-lof-outlier=0.9538580502953038
simplified-lof-outlier=1.2262990397479272
simplified-lof-outlier=1.224681300597925
simplified-lof-outlier=1.2813910710320402
simplified-lof-outlier=1.3055417517530041
simplified-lof-outlier=1.2423993923694658
simplified-lof-outlier=1.0523749096726642
simplified-lof-outlier=1.276878033860909
simplified-lof-outlier=1.405364683569452
simplified-lof-outlier=0.9372197145960747
simplified-lof-outlier=1.250183836566783
simplified-lof-outlier=0.9958825153671095
simplified-lof-outlier=1.233374633435978
simplified-lof-outlier=1.2281592034989646
simplified-lof-outlier=1.0804223530169237
simplified-lof-outlier=1.1828919500588493
simplified-lof-outlier=1.367576462799992
simplified-lof-outlier=1.4760305298067284
simplified-lof-outlier=1.1590309198769106
simplified-lof-outlier=1.0090405190271905
simplified-lof-outlier=1.4607951049310874
simplified-lof-outlier=1.3587027712384712
simplified-lof-outlier=1.1766849044208296
simplified-lof-outlier=1.2521792712975879
simplified-lof-outlier=1.0780239741659152
simplified-lof-outlier=0.946316092477092
simplified-lof-outlier=1.2507674130236555
simplified-lof-outlier=1.135405833138885
simplified-lof-outlier=1.0491652970029661
simplified-lof-outlier=1.083646920154806
simplified-lof-outlier=1.1656656209960343
simplified-lof-outlier=1.2616169233435215
simplified-lof-outlier=1.0082109788867326
simplified-lof-outlier=1.4033618217627364
simplified-lof-outlier=1.2352820368642063
simplified-lof-outlier=0.9917282397208184
simplified-lof-outlier=1.298505192910208
simplified-lof-outlier=1.2805842989323064
simplified-lof-outlier=1.3316043914604818
simplified-lof-outlier=1.195207370394091
