,ID,Reste ÌÊ vivre mensuel,Taux d'apport,Revenus du foyer,Taux d'endettement,Prix_immobilier,Apport global,d_eligible,instruit,age,nb_enfants_charge,#NAME?,--Achat d'un appartement,--Achat d'un autre bien,--Achat d'un bien mixte (habitation et activite),--Achat d'un garage,--Achat d'un immeuble,--Achat d'un local commercial,--Achat d'un terrain avec financement de la construction,--Achat d'un terrain sans financement de la construction,--Achat d'une maison,Avec une autre personne,Avec votre concubin,Avec votre conjoint,Avec votre pacse,Avec votre parent,Dans le cadre d'une SCI,Seul(e),Accepte,Audite,Cloture,Erreur,Exclu,Exclus,Instruit,Mandate,Soumis partenaires,cancelled,eligible,pre-accorded,pre-qualified,validated,CDD,CDI,Interimaire,Non salarie,alternant apprenti,autre,interimaire,intermittent,non salarie,Artisan,Artiste,Cadre moyen,Cadre superieur,Chercher / enseignement superieur,ChÌ«meur / Sans activite,Commercial,CommerÌ¤ant,Employe,Employe de bureau,En recherche dÛªemploi,Enseignant,Entrepreneur individuel,Gerant de societe,Medecin,Militaire / Gendarme,Ouvrier,Profession liberale,Rentier,Retraite,Taxi,Technicien,Ìätudiant,Administration,Autre,Banque / Finance / Assurance,BÌ¢timent,Commerce,Enseignement/Recherche,Environnement,Fonction Publique,Gestion / Comptabilite,Immobilier,Import / Export,Industrie,Informatique,Marketing / Communication,Restauration,Sante,Securite,Services Juridiques,Services aux entreprises,Services ÌÊ la personne,Tourisme,Transport,M,Mlle,Mme,Celibataire,Divorce,Instance de divorce,Marie,PACS,Union libre,Veuf,Alsace-Champagne-Ardenne-Lorraine,Aquitaine-Limousin-Poitou-Charentes,Auvergne-RhÌ«ne-Alpes,Bourgogne-Franche-Comte,Bretagne,Centre-Val de Loire,Ile-de-France,La Reunion,Languedoc-Roussillon-Midi-Pyrenees,Nord-Pas-de-Calais-Picardie,Normandie,Pays de la Loire,Provence-Alpes-CÌ«te d'Azur
2523,29,3660.0,21.43,5299.37,30.93,280000.0,60000.0,1,0,37.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
633,32,2493.0,15.0,3920.19,31.99,220000.0,33000.0,1,0,38.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
801,34,3844.0,27.27,5582.07,31.13,220000.0,60000.0,1,0,38.0,0.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1783,37,5048.0,46.51,6840.63,26.2,430000.0,200000.0,1,0,38.0,4.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2648,38,3071.0,19.23,4329.31,31.44,104000.0,20000.0,1,0,37.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
35,39,594.0,24.19,2035.33,33.23,310000.0,75000.0,1,0,35.0,3.0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2929,41,3071.0,19.23,4329.31,31.44,104000.0,20000.0,1,0,37.0,2.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2550,47,-1432.0,13.64,0.06,143205.87,220000.0,30000.0,1,1,41.0,3.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2777,49,4079.0,29.24,5886.28,30.85,342000.0,100000.0,1,1,36.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
1429,51,2375.0,30.3,3799.75,37.49,330000.0,100000.0,0,0,36.0,1.0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
