kdeos-outlier=0.5025165140293061
kdeos-outlier=0.8307409054360373
kdeos-outlier=0.9496088372297145
kdeos-outlier=0.7181375985800519
kdeos-outlier=0.7392770279031446
kdeos-outlier=0.9405297752074895
kdeos-outlier=0.7773618656364081
kdeos-outlier=0.8845358370219032
kdeos-outlier=0.7824978711561515
kdeos-outlier=0.6558903004497647
kdeos-outlier=0.8229161625654835
kdeos-outlier=0.7867281194657123
kdeos-outlier=0.31337259239445775
kdeos-outlier=0.020508190110815838
kdeos-outlier=0.4622217435830887
kdeos-outlier=0.5826872997920233
kdeos-outlier=0.8873087137568149
kdeos-outlier=0.29817592709444685
kdeos-outlier=0.5891229464665632
kdeos-outlier=0.8532711659369567
kdeos-outlier=0.8082930051405379
kdeos-outlier=0.07049191889816864
kdeos-outlier=0.9033686623480205
kdeos-outlier=0.4374162699888365
kdeos-outlier=0.7931087233534828
kdeos-outlier=0.745924080799425
kdeos-outlier=0.5621630548106099
kdeos-outlier=0.3770817461424004
kdeos-outlier=0.8637464173334706
kdeos-outlier=0.8859683179466569
kdeos-outlier=0.011904114633912888
kdeos-outlier=0.1458830979859742
kdeos-outlier=0.30084671237781535
kdeos-outlier=0.9280678928583815
kdeos-outlier=0.6947538481101558
kdeos-outlier=0.7335896342547535
kdeos-outlier=0.3238224386241183
kdeos-outlier=0.9742982964473181
kdeos-outlier=0.9173374028914102
kdeos-outlier=0.6807347521171887
kdeos-outlier=0.08365864947890278
kdeos-outlier=0.8551444225871994
kdeos-outlier=0.8710222788631015
kdeos-outlier=0.8622567383371891
kdeos-outlier=0.8327655918940566
kdeos-outlier=0.9048902145642227
kdeos-outlier=0.615381484594719
kdeos-outlier=0.608369713059083
kdeos-outlier=0.6151237524342917
kdeos-outlier=0.6009573423591142
kdeos-outlier=0.06042033832874805
kdeos-outlier=0.3182622784147173
kdeos-outlier=0.8384015029427854
kdeos-outlier=0.024684778067692592
kdeos-outlier=0.9593939161698255
kdeos-outlier=0.6930618644847278
kdeos-outlier=0.15805645444195543
kdeos-outlier=0.8446063464081845
